test,race,sex,edu,edu_level_min,edu_level_max,edu_min,edu_max,edu_mean,age_min,age_max,age_mean,mean,sd,score_min,score_max,t_score,percent,z_score,scaled,sten,stanine,iq,beware
bvmt_total,NA,NA,NA,NA,NA,NA,NA,13.79,10,16.99,,30.43,4.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
bvmt_total,NA,NA,NA,NA,NA,NA,NA,13.79,17,20.99,,30.43,4.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_total,NA,NA,NA,NA,NA,NA,NA,15.23,21,22.99,,29.92,4.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_total,NA,NA,NA,NA,NA,NA,NA,15.83,23,24.99,,30.01,3.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_total,NA,NA,NA,NA,NA,NA,NA,16.17,25,26.99,,30.25,3.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_total,NA,NA,NA,NA,NA,NA,NA,16.33,27,28.99,,30.13,3.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_total,NA,NA,NA,NA,NA,NA,NA,17.02,29,30.99,,29.9,4.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_total,NA,NA,NA,NA,NA,NA,NA,17.21,31,32.99,,30.03,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_total,NA,NA,NA,NA,NA,NA,NA,17.59,33,34.99,,30,4.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_total,NA,NA,NA,NA,NA,NA,NA,16.07,35,36.99,,29.88,4.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_total,NA,NA,NA,NA,NA,NA,NA,15.47,37,38.99,,30.24,4.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_total,NA,NA,NA,NA,NA,NA,NA,15.76,39,40.99,,29.69,5.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_total,NA,NA,NA,NA,NA,NA,NA,15.57,41,43.99,,28.67,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_total,NA,NA,NA,NA,NA,NA,NA,13.82,44,45.99,,27.96,5.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_total,NA,NA,NA,NA,NA,NA,NA,13.97,46,46.99,,26.39,5.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_total,NA,NA,NA,NA,NA,NA,NA,14.51,47,48.99,,25.25,6.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_total,NA,NA,NA,NA,NA,NA,NA,14.24,49,50.99,,25.36,4.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_total,NA,NA,NA,NA,NA,NA,NA,14.5,51,52.99,,26.58,4.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_total,NA,NA,NA,NA,NA,NA,NA,15.08,53,54.99,,27.47,4.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_total,NA,NA,NA,NA,NA,NA,NA,15.72,55,57.99,,27.29,5.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_total,NA,NA,NA,NA,NA,NA,NA,15.24,58,59.99,,25.97,5.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_total,NA,NA,NA,NA,NA,NA,NA,14.64,60,60.99,,26.43,5.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_total,NA,NA,NA,NA,NA,NA,NA,14.3,61,62.99,,25.57,5.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_total,NA,NA,NA,NA,NA,NA,NA,13.46,63,64.99,,24.41,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
bvmt_total,NA,NA,NA,NA,NA,NA,NA,13.65,65,67.99,,24.66,4.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
